Species Name,Latitude,Longitude,Day,Month,Year,Local Time,Location Name,Loc Reliability,Sp Code,ID Reliability,Min. Number of Animals,Max. Number of Animals,Animal Condition,Platform,Type of Sighting,Type of Gear,Target Species,Strand or Entrapment Outcome,Depth (m),Distance From Obs (m),Discard Wt (kg)
Leatherback Turtle,46.6187,-53.6136,24,8,2024,,St. Shotts,1,9701,1,2,2,Alive,Unknown,Free Swimming,,,,,,
Leatherback Turtle,47.092,-55.8849,24,8,2024,,off Fortune,1,9701,1,1,1,Dead,Fishing Vessel,Entrapment,Pot,Whelk,Dead,120,,
Leatherback Turtle,47.5167,-52.6,25,8,2024,,Cape Spear,1,9701,1,1,1,Alive,Recreation Vessel,Free Swimming,,,,170,10,
Leatherback Turtle,47.617,-59.2459,25,8,2024,,Cheeseman’s Provincial Park  West Coast,2,9701,1,1,1,Dead,Shore,Stranding,,,,,,
Leatherback Turtle,46.35,-56.95,25,8,2024,,St. Pierre Bank,1,9701,1,1,1,Dead,Fishing Vessel,Entrapment,Pot,Whelk,Dead,,,
Leatherback Turtle,46.5167,-56.8667,28,8,2024,,St. Pierre Bank,1,9701,1,1,1,Dead,Fishing Vessel,Entrapment,Pot,Whelk,Dead,,,
Leatherback Turtle,50.09,-57.64,,8,2024,,,1,9701,1,1,1,Dead,Shore,Entrapment,,,,,,
Leatherback Turtle,47.5898,-58.0093,12,9,2024,,Between Burgeo and Grand Bruit  South Coast ferry,1,9701,1,1,1,Alive,Unknown,Free Swimming,,,,,,
Leatherback Turtle,49.2333,-52.9333,27,9,2024,,Offshore,1,9701,1,1,1,Alive,Fishing Vessel,Free Swimming,,,,,,
Leatherback Turtle,37.163,-74.9082,4,10,2024,,,1,9701,1,1,1,Alive,Military Vessel,Free Swimming,,,,,,
Leatherback Turtle,49.5812,-57.9513,5,10,2024,11:00,Bonne Bay  NL,1,9701,1,1,1,Alive,Fishing Vessel,Free Swimming,,,,40,,
Unknown Turtle,39.5425,-68.3312,12,10,2024,,,1,20,1,1,1,Alive,Military Vessel,Free Swimming,,,,,,
Green Turtle,41.8122,-69.2617,13,10,2024,,Offshore,1,9703,1,1,1,Alive,Military Vessel,Free Swimming,,,,,,
Leatherback Turtle,41.3053,-69.37,16,10,2024,16:22,Offshore,2,9701,2,3,3,Alive,Military Vessel,Free Swimming,,,,,,
Loggerhead Turtle,47.5326,-55.9405,15,11,2024,,Sandyville (South Coast),1,9702,1,1,1,Alive,Shore,Stranding,,,Alive,15,5,
Leatherback Turtle,39.0543,-68.0332,10,12,2024,,Offshore,1,9701,2,1,1,Alive,Military Vessel,Free Swimming,,,,,,
Unknown Turtle,45.8445,-51.0475,7,3,2024,,Offshore,2,20,2,5,5,Alive,Military Vessel,Free Swimming,,,,,,
Leatherback Turtle,33.3698,-77.1298,25,4,2024,19:50,GLACE BAY,2,9701,2,1,1,Alive,Military Vessel,Free Swimming,,,,,,
Loggerhead Turtle,44.5907,-44.0695,2,5,2024,,Offshore,2,9702,2,2,2,Alive,Military Vessel,Free Swimming,,,,,,
Loggerhead Turtle,47.3308,-32.7723,3,5,2024,,Offshore,2,9702,2,1,1,Alive,Military Vessel,Free Swimming,,,,,,
Unknown Turtle,29.812,-85.7728,4,5,2024,11:51,Offshore,2,20,2,13,13,Alive,Military Vessel,Free Swimming,,,,,,
Loggerhead Turtle,28.1837,-79.6345,25,5,2024,17:38,,2,9702,1,1,1,Alive,Military Vessel,Free Swimming,,,,,,270
Loggerhead Turtle,44.5195,-60.8938,30,5,2024,21:00,Offshore,2,9702,2,1,1,Alive,Military Vessel,Free Swimming,,,,,,
Leatherback Turtle,43.2903,-65.1212,4,7,2024,,Offshore,1,9701,2,1,1,Alive,Fishing Vessel,Free Swimming,,,,,,
Leatherback Turtle,49.3494,-53.6986,7,7,2024,12:45,Offshore,1,9701,1,1,1,Alive,Fishing Vessel,Free Swimming,,,,,,
